,hospital,school,supermarket
2021-01-02 04:45:00,188.375,75.35,87.4675
2021-01-02 05:00:00,190.1,72.72,88.24
2021-01-02 05:15:00,252.6875,80.7675,118.615
2021-01-02 05:30:00,315.275,88.815,148.99
2021-01-02 05:45:00,377.86249999999995,96.8625,179.365
2021-01-02 06:00:00,440.45,104.91,209.74
2021-01-02 06:15:00,471.6075,151.7575,207.60500000000002
2021-01-02 06:30:00,502.765,198.60500000000002,205.47
2021-01-02 06:45:00,533.9225,245.45250000000001,203.33499999999998
2021-01-02 07:00:00,565.08,292.3,201.2
2021-01-02 07:15:00,573.3425,311.785,254.535
2021-01-02 07:30:00,581.605,331.27,307.87
2021-01-02 07:45:00,589.8675000000001,350.755,361.20500000000004
2021-01-02 08:00:00,598.13,370.24,414.54
2021-01-02 08:15:00,607.2025,370.155,440.435
2021-01-02 08:30:00,616.275,370.07,466.33000000000004
2021-01-02 08:45:00,625.3475,369.985,492.225
2021-01-02 09:00:00,634.42,369.9,518.12
2021-01-02 09:15:00,639.2075,371.26,512.0175
2021-01-02 09:30:00,643.995,372.62,505.91499999999996
2021-01-02 09:45:00,648.7825,373.97999999999996,499.8125
2021-01-02 10:00:00,653.57,375.34,493.71
2021-01-02 10:15:00,656.9475,375.56,513.0699999999999
2021-01-02 10:30:00,660.325,375.78,532.43
2021-01-02 10:45:00,663.7025000000001,376.0,551.79
2021-01-02 11:00:00,667.08,376.22,571.15
2021-01-02 11:15:00,660.3275000000001,375.96500000000003,558.5074999999999
2021-01-02 11:30:00,653.575,375.71000000000004,545.865
2021-01-02 11:45:00,646.8225,375.455,533.2225000000001
2021-01-02 12:00:00,640.07,375.2,520.58
2021-01-02 12:15:00,650.6375,373.7925,518.5175
2021-01-02 12:30:00,661.205,372.385,516.455
2021-01-02 12:45:00,671.7725,370.97749999999996,514.3925
2021-01-02 13:00:00,682.34,369.57,512.33
2021-01-02 13:15:00,682.3625,369.5625,509.96000000000004
2021-01-02 13:30:00,682.385,369.555,507.59000000000003
2021-01-02 13:45:00,682.4075,369.5475,505.22
